game_number,dynasty_number,dynasty_game_number,gamemode,difficulty,context,person,teammate,team,ignored,player,pos,pts,reb,ast,stl,blk,to,fgm,fga,X3pm,X3pa,ftm,fta,or,fls,dnk,result,ot,dbl_ot
1,1,1,4 man,All Star,Dynasty,Guy,Riley,2001-02 Sacramento Kings,NA,Mike Bibby,PG,27,2,5,5,1,2,12,20,1,3,2,4,1,2,5,Win,FALSE,FALSE
1,1,1,4 man,All Star,Dynasty,Riley,Guy,2001-02 Sacramento Kings,NA,Vlade Divac,C,8,8,5,2,1,0,4,6,0,0,0,4,1,0,3,Win,FALSE,FALSE
1,1,1,4 man,All Star,Challenger,Frank,Ben,Utah Jazz,NA,Jordan Clarkson,SG,6,1,1,0,0,2,3,10,0,4,0,0,0,1,1,Loss,FALSE,FALSE
1,1,1,4 man,All Star,Challenger,Ben,Frank,Utah Jazz,NA,Collin Sexton,PG,1,1,7,0,0,5,0,6,0,0,1,3,1,1,0,Loss,FALSE,FALSE
2,1,2,4 man,All Star,Dynasty,Guy,Riley,2001-02 Sacramento Kings,NA,Mike Bibby,PG,16,0,2,1,0,5,6,13,0,1,4,6,0,3,3,Win,FALSE,FALSE
2,1,2,4 man,All Star,Dynasty,Riley,Guy,2001-02 Sacramento Kings,NA,Vlade Divac,C,10,10,3,1,4,1,5,8,0,0,0,0,4,0,2,Win,FALSE,FALSE
2,1,2,4 man,All Star,Challenger,Frank,Ben,Memphis Grizzlies,NA,Desmond Bane,SG,2,2,2,0,0,1,0,8,0,1,2,2,0,1,0,Loss,FALSE,FALSE
2,1,2,4 man,All Star,Challenger,Ben,Frank,Memphis Grizzlies,NA,Xavier Tillman,C,1,4,1,0,1,1,0,6,0,0,1,2,3,0,0,Loss,FALSE,FALSE
3,1,3,4 man,All Star,Dynasty,Guy,Riley,2001-02 Sacramento Kings,NA,Mike Bibby,PG,3,0,5,0,0,1,1,8,0,0,1,4,0,4,1,Win,FALSE,FALSE
3,1,3,4 man,All Star,Dynasty,Riley,Guy,2001-02 Sacramento Kings,NA,Vlade Divac,C,7,12,2,2,1,2,3,5,0,0,1,4,1,1,3,Win,FALSE,FALSE
3,1,3,4 man,All Star,Challenger,Frank,Ben,2002-03 Phoenix Suns,NA,Stephon Marbury,PG,5,0,2,1,0,1,1,5,0,1,3,4,0,1,0,Loss,FALSE,FALSE
3,1,3,4 man,All Star,Challenger,Ben,Frank,2002-03 Phoenix Suns,NA,Shawn Marion,SF,5,8,2,0,1,2,2,5,0,1,1,6,1,1,2,Loss,FALSE,FALSE
4,2,1,4 man,All Star,Dynasty,Guy,Riley,Miami Heat,NA,Tyler Herro,SG,5,1,5,0,1,1,2,10,1,3,0,0,0,0,1,Win,FALSE,FALSE
4,2,1,4 man,All Star,Dynasty,Riley,Guy,Miami Heat,NA,Caleb Martin,PF,5,5,5,1,1,0,2,3,1,1,0,2,0,2,0,Win,FALSE,FALSE
4,2,1,4 man,All Star,Challenger,Nick,MJ,Memphis Grizzlies,NA,Ja Morant,PG,6,2,2,0,0,5,2,10,0,0,2,2,0,1,0,Loss,FALSE,FALSE
4,2,1,4 man,All Star,Challenger,MJ,Nick,Memphis Grizzlies,NA,Xavier Tillman,C,4,5,0,0,0,2,2,2,0,0,0,0,1,1,1,Loss,FALSE,FALSE
5,2,2,4 man,All Star,Dynasty,Guy,Riley,Miami Heat,NA,Tyler Herro,SG,3,2,4,0,0,1,1,8,0,1,1,2,2,2,1,Win,FALSE,FALSE
5,2,2,4 man,All Star,Dynasty,Riley,Guy,Miami Heat,NA,Caleb Martin,PF,3,4,6,0,0,0,1,3,1,2,0,0,0,1,0,Win,FALSE,FALSE
5,2,2,4 man,All Star,Challenger,Nick,MJ,2006-07 Washington Wizards,NA,Brendan Haywood,C,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,Loss,FALSE,FALSE
5,2,2,4 man,All Star,Challenger,MJ,Nick,2006-07 Washington Wizards,NA,Gilbert Arenas,PG,4,2,5,1,0,2,2,5,0,1,0,0,0,4,1,Loss,FALSE,FALSE
6,3,1,4 man,All Star,Dynasty,Guy,Riley,San Antonio Spurs,NA,Tre Jones,PG,11,2,4,0,0,0,4,6,0,0,3,4,1,2,0,Win,FALSE,FALSE
6,3,1,4 man,All Star,Dynasty,Riley,Guy,San Antonio Spurs,NA,Zach Collins,C,17,12,2,1,2,5,8,15,0,0,1,2,5,4,3,Win,FALSE,FALSE
6,3,1,4 man,All Star,Challenger,Nick,Frank,Atlanta Hawks,NA,Clint Capela,C,5,5,1,0,2,5,2,8,0,0,1,6,2,1,1,Loss,FALSE,FALSE
6,3,1,4 man,All Star,Challenger,Frank,Nick,Atlanta Hawks,NA,John Collins,PF,6,5,3,1,0,2,2,5,0,0,2,2,1,2,1,Loss,FALSE,FALSE
7,3,2,4 man,All Star,Dynasty,Guy,Riley,San Antonio Spurs,NA,Tre Jones,PG,5,2,4,1,1,0,1,6,0,0,3,4,0,0,0,Win,FALSE,FALSE
