"","Position","Height","Playtype","Name","Rating","Team"
"1","C","7'0""","2-Way 3-Level Scorer","Joel Embiid",97,"Philadelphia 76ers"
"2","SG / PG","6'5""","Versatile Offensive Force","James Harden",90,"Philadelphia 76ers"
"3","PG / SG","6'2""","Versatile Offensive Force","Tyrese Maxey",84,"Philadelphia 76ers"
"4","PF / SF","6'7""","Sharpshooter","Tobias Harris",81,"Philadelphia 76ers"
"5","SG / PG","6'2""","2-Way 3-Level Shot Creator","De’Anthony Melton",78,"Philadelphia 76ers"
"6","SG / PG","6'5""","Sharpshooting Shot Creator","Shake Milton",77,"Philadelphia 76ers"
"7","C / PF","6'7""","Inside the Arc Scorer","Montrezl Harrell",76,"Philadelphia 76ers"
"8","SF / PF","6'9""","Inside the Arc Scorer","Jalen McDaniels",76,"Philadelphia 76ers"
"9","PF / C","6'9""","Glass Cleaner","Paul Reed",76,"Philadelphia 76ers"
"10","PF / C","6'5""","2-Way Stretch Four","P.J. Tucker",75,"Philadelphia 76ers"
"11","C","7'0""","Defensive Anchor","Dewayne Dedmon",74,"Philadelphia 76ers"
"12","SF / PF","6'6""","Inside-Out Scorer","Danuel House Jr.",73,"Philadelphia 76ers"
"13","PF / SF","6'7""","Inside-Out Scorer","Georges Niang",73,"Philadelphia 76ers"
"14","PG / SG","6'4""","3PT Shooter","Jaden Springer",71,"Philadelphia 76ers"
"15","SF / SG","6'7""","3PT Shooter","Furkan Korkmaz",71,"Philadelphia 76ers"
"16","PG","6'2""","Athletic Finisher","Mac McClung",69,"Philadelphia 76ers"
"17","SF","6'7""","Athletic Finisher","Louis King",68,"Philadelphia 76ers"
"18","SF / SG","6'6""","2-Way Slashing Point Forward","Julius Erving",95,"1976-77 Philadelphia 76ers"
"19","PF / C","6'8""","Defensive Anchor","George McGinnis",86,"1976-77 Philadelphia 76ers"
"20","SG / SF","6'6""","All-Around Threat","Doug Collins",85,"1976-77 Philadelphia 76ers"
"21","PG / SG","6'1""","2-Way 3-Level Scorer","Henry Bibby",81,"1976-77 Philadelphia 76ers"
"22","PG / SG","6'2""","3-Level Scorer","World B. Free",80,"1976-77 Philadelphia 76ers"
"23","PF / SF","6'7""","Inside the Arc Glass Cleaner","Steve Mix",79,"1976-77 Philadelphia 76ers"
"24","C","6'11""","Interior Finisher","Darryl Dawkins",75,"1976-77 Philadelphia 76ers"
"25","SF / PF","6'9""","Scrappy Wing","Joe Bryant",72,"1976-77 Philadelphia 76ers"
"26","PG / SG","6'3""","Mid-Range Specialist","Mike Dunleavy",72,"1976-77 Philadelphia 76ers"
"27","C / PF","6'9""","Glass Cleaner","Harvey Catchings",71,"1976-77 Philadelphia 76ers"
"28","SG / PG","6'0""","2-Way Playshot","Allen Iverson",94,"2000-01 Philadelphia 76ers"
"29","C","7'2""","Defensive Anchor","Dikembe Mutombo",83,"2000-01 Philadelphia 76ers"
"30","PG / SG","6'5""","Playmaking Shot Creator","Aaron McKie",81,"2000-01 Philadelphia 76ers"
"31","PG","6'3""","2-Way Diming Finisher","Eric Snow",80,"2000-01 Philadelphia 76ers"
"32","PF","6'9""","Defensive Anchor","Tyrone Hill",76,"2000-01 Philadelphia 76ers"
"33","SF / PF","6'8""","Scrappy Wing","George Lynch",75,"2000-01 Philadelphia 76ers"
"34","PG","5'11""","Floor General","Speedy Claxton",74,"2000-01 Philadelphia 76ers"
"35","PG","6'4""","Diming Outside Scorer","Kevin Ollie",73,"2000-01 Philadelphia 76ers"
